hotel_id,rating,number_of_rooms,address,h_phone_numbers,emails,hotelchain_id
1,5,150,"101 Park Ave, New York, NY 10022","555-101-1010","ny.central@luxehotels.com",1
2,4,120,"202 Lake Shore Dr, Chicago, IL 60611","555-202-2020","chicago.downtown@luxehotels.com",1
3,5,200,"303 Ocean Blvd, Miami Beach, FL 33139","555-303-3030","miami.beachfront@luxehotels.com",1
4,3,80,"404 Mountain View Rd, Denver, CO 80202","555-404-4040","denver.central@comfortinns.com",2
5,3,100,"505 Harbor Dr, Seattle, WA 98101","555-505-5050","seattle.waterfront@comfortinns.com",2
6,4,110,"606 Desert Rd, Phoenix, AZ 85004","555-606-6060","phoenix.downtown@comfortinns.com",2
7,5,180,"707 Sunset Blvd, Los Angeles, CA 90069","555-707-7070","la.hollywood@grandstay.com",3
8,4,130,"808 Union Square, San Francisco, CA 94108","555-808-8080;","sf.downtown@grandstay.com",3
9,5,160,"909 Royal St, New Orleans, LA 70116","555-909-9090","nola.frenchquarter@plazaresorts.com",4
10,4,140,"1010 Peachtree St, Atlanta, GA 30309","555-010-0100","atlanta.midtown@plazaresorts.com",4
11,3,90,"1111 Bourbon St, Las Vegas, NV 89109","555-111-1110","vegas.strip@sunsethotels.com",5
12,4,120,"1212 Bay St, San Diego, CA 92101","555-212-1212","sandiego.downtown@sunsethotels.com",5
13,3,70,"1313 Austin Hwy, San Antonio, TX 78209","555-313-1313","sanantonio.central@sunsethotels.com",5
14,5,170,"1414 5th Ave, New York, NY 10021","555-414-1414","ny.upper@luxehotels.com",1
15,3,85,"1515 Michigan Ave, Chicago, IL 60605","555-515-1515","chicago.south@comfortinns.com",2
